לוח,מהדורה,נספח,אוכלוסייה,משפחת מדדים,רמה גאוגרפית,פילוח מגדרי,שורות,עמודות,כיסוי,חסרות,התאמות fuzzy,שם הלוח
126,2023–2024,ח,שכיר וגם עצמאי,התפלגות קבוצת הכנסה,מועצה אזורית,כן,171,20,4/4,,,"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023"
128,2023–2024,ח,שכיר וגם עצמאי,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023"
125,2023–2024,ח,שכיר וגם עצמאי,התפלגות קבוצת הכנסה,מועצה אזורית,כן,172,20,4/4,,,"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023"
127,2023–2024,ח,שכיר וגם עצמאי,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023"
92,2023–2024,ו,עצמאים · עצמאית בלבד,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,866,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
94,2023–2024,ו,עצמאים · עצמאית בלבד,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023"
96,2023–2024,ו,עצמאים · עצמאית בלבד,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023"
91,2023–2024,ו,עצמאים · עצמאית בלבד,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,866,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
93,2023–2024,ו,עצמאים · עצמאית בלבד,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023"
95,2023–2024,ו,עצמאים · עצמאית בלבד,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023"
