anaf,n,months,wage,rashut,ענף,ratio,w_nat
77+79,71,8.5,9490.8,הגליל העליון,שירותי השכרה והחכרה +,75.7,12539.6
81,53,8.5,9229.9,הגליל העליון,שירותי תחזוקה לבניינים ועבודות גינון,126.0,7323.5
83,348,10.1,12803.4,הגליל העליון,מינהל מקומי,111.0,11536.4
84,150,11.0,19472.4,הגליל העליון,מינהל ציבורי וביטחון; ביטוח לאומי חובה,99.9,19488.5
85,1208,10.0,12883.1,הגליל העליון,חינוך,115.4,11163.3
86,245,10.1,12606.8,הגליל העליון,שירותי בריאות,78.3,16108.9
87+88,347,8.9,6017.1,הגליל העליון,מגורים טיפוליים +,116.2,5177.2
90+91+92,74,9.5,12112.0,הגליל העליון,"יצירה, אמנות ובידור +",119.0,10179.7
93,152,7.9,9221.5,הגליל העליון,"פעילויות ספורט, בילוי ופנאי",149.6,6163.2
94,274,8.9,8349.2,הגליל העליון,פעילויות של ארגוני חברים,119.0,7018.5
1,332,9.3,8902.7,מרום הגליל,גידולים צמחיים,104.6,8514.2
10,170,9.3,10033.8,מרום הגליל,ייצור מוצרי מזון,94.6,10603.5
11+12,79,9.2,13525.8,מרום הגליל,ייצור משקאות +,92.3,14655.8
2+3+4,154,9.5,10788.2,מרום הגליל,ייעור וכריתת עצים +,80.0,13491.9
23+24+25,98,10.9,15870.7,מרום הגליל,ייצור מוצרים אחרים על בסיס מינרלים אל-מתכתיים +,103.4,15346.6
26,61,11.1,26930.1,מרום הגליל,"ייצור מחשבים, מכשור אלקטרוני ואופטי",103.6,25982.4
27+28,52,10.8,15606.5,מרום הגליל,ייצור ציוד חשמלי +,78.8,19812.5
29+30,65,10.6,16908.6,מרום הגליל,ייצור כלי רכב מנועיים ונגררים +,68.0,24878.6
31+32+33+34,119,10.4,13451.2,מרום הגליל,ייצור רהיטים +,94.3,14260.9
35+36+37+38+39,63,11.0,22009.7,מרום הגליל,"אספקת חשמל, גז, קיטור ומיזוג אוויר (קירור) +",95.0,23164.3
41,95,9.3,13727.8,מרום הגליל,בניית מבנים ובניינים,107.2,12807.7
43,131,8.7,10610.4,מרום הגליל,עבודות בנייה מיוחדות,99.7,10639.2
46,192,9.6,12390.3,מרום הגליל,"מסחר סיטוני, פרט לכלי רכב מנועיים ולאופנועים",84.5,14657.0
47,449,8.5,6467.6,מרום הגליל,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",84.5,7653.0
49,188,10.5,11429.8,מרום הגליל,הובלה יבשתית והובלה באמצעות קווי צינורות,97.5,11726.1
55,133,8.2,7112.0,מרום הגליל,שירותי אירוח,72.3,9830.5
56,306,6.9,4344.3,מרום הגליל,שירותי מזון ומשקאות,81.9,5301.7
62+63,124,10.6,25543.4,מרום הגליל,"תכנות מחשבים, ייעוץ בתחום המחשבים ושירותים נלווים אחרים +",79.8,31994.1
64+65+66,88,10.6,18430.6,מרום הגליל,"שירותים פיננסיים, פרט לביטוח ולקרנות פנסיה +",84.2,21885.1
69,71,10.3,10670.4,מרום הגליל,שירותים משפטיים ושירותי חשבונאות,79.4,13434.3
71,64,9.4,15051.0,מרום הגליל,שירותי אדריכלות והנדסה; בדיקות טכניות וניתוח נתונים טכניים,96.8,15541.5
78,60,6.1,5219.4,מרום הגליל,שירותי תעסוקה,85.6,6099.3
80,78,8.9,7863.0,מרום הגליל,"שירותי שמירה, אבטחה וחקירה",86.7,9072.4
81,108,9.3,8550.7,מרום הגליל,שירותי תחזוקה לבניינים ועבודות גינון,116.8,7323.5
82,129,9.6,5890.8,מרום הגליל,שירותי ניהול ותמיכה למשרדים ולעסקים,73.0,8069.6
83,441,10.8,10542.3,מרום הגליל,מינהל מקומי,91.4,11536.4
84,242,11.0,18303.0,מרום הגליל,מינהל ציבורי וביטחון; ביטוח לאומי חובה,93.9,19488.5
85,971,9.7,10774.2,מרום הגליל,חינוך,96.5,11163.3
86,220,10.4,13056.7,מרום הגליל,שירותי בריאות,81.1,16108.9
