anaf,n_nat,mon_nat,w_nat,n_eg,mon_eg,w_eg,ענף,s_nat,s_eg,c_mix,c_pay,tot,w_ratio
78,69828,7.284441771209257,6099.297151515061,1150.0,7.087826086956522,5424.444303030297,שירותי תעסוקה,0.016286398799861178,0.014286069219111033,-11.525640456221888,-10.31595856390637,-21.841599020128257,88.93556369331618
80,50100,9.892215568862275,9072.426222828492,790.0,9.178481012658228,8564.956470765525,"שירותי שמירה, אבטחה וחקירה",0.011685120293765323,0.009813908420084972,-16.50163995844873,-5.455053385506109,-21.95669334395484,94.4064604153402
81,104339,9.363526581623363,7323.481307988233,1206.0,8.686567164179104,6852.706676035405,שירותי תחזוקה לבניינים ועבודות גינון,0.02433560411838683,0.01498173867673731,-66.30107743904293,-9.254803791868884,-75.55588123091181,93.5717097899967
82,50447,9.295002676075882,8069.559687493386,1058.0,9.128544423440454,6981.776079114111,שירותי ניהול ותמיכה למשרדים ולעסקים,0.011766053162865853,0.013143183681582151,10.363826915820676,-13.547929768313823,-3.1841028524931474,86.51991371889623
83,215694,10.852610642855156,11536.414685120728,4602.0,10.218166014776184,10262.457865533699,מינהל מקומי,0.05030759154976882,0.0571691222142165,74.78681622835111,-68.46034622321609,6.326470005135022,88.9570819499915
84,91337,10.923415483320012,19488.490472031233,1921.0,11.048932847475273,18906.822932417785,מינהל ציבורי וביטחון; ביטוח לאומי חובה,0.02130307050442402,0.02386394693035852,49.16282648191019,-13.136093951483852,36.02673253042634,97.01532789084806
85,475354,10.202644765795597,11163.277004243126,11534.0,10.089908097797816,11550.88251117661,חינוך,0.11086963417410223,0.14328306293324058,368.1218956383811,49.25549250040183,417.3773881387829,103.47214806894208
86,189550,10.88436824056977,16108.910941997598,2461.0,10.456318569687118,13715.304558618061,שירותי בריאות,0.04420987129108218,0.03057218812889761,-203.36660077905506,-89.49940739496569,-292.86600817402075,85.14110362892903
87+88,332238,9.671253739788947,5177.19400082125,5778.0,9.121495327102803,4606.291725549267,מגורים טיפוליים +,0.07748984024271464,0.0717781808243683,-27.93996919664056,-42.60872642627197,-70.54869562291253,88.97274710622354
90+91+92,23122,9.355332583686533,10179.677462540103,495.0,9.426262626262627,10990.926027591937,"יצירה, אמנות ובידור +",0.005392881266116603,0.006149221098660836,8.006085349293413,4.681756990553538,12.68784233984695,107.96929537342537
93,51649,7.71072043989235,6163.238220150218,1043.0,6.9837008628954935,7021.534201036527,"פעילויות ספורט, בילוי ופנאי",0.01204640275554262,0.012956843648289399,6.001977986904189,10.730092948759538,16.732070935663728,113.92605559331096
94,115821,9.019556039060275,7018.534516232434,2664.0,8.47897897897898,6495.804867055904,פעילויות של ארגוני חברים,0.027013619112658555,0.033093989912792866,41.08609728462577,-15.710014689357129,25.37608259526864,92.5521539009666
95+96,27468,9.334498325324013,7996.797559299487,369.0,8.504065040650406,6546.069038135908,"תיקון של מחשבים, ציוד אישי וציוד לבית +",0.0064065246353122935,0.004583964819001714,-13.252622137225558,-7.9721082564604355,-21.224730393685995,81.85863140331062
