קובץ,משפחה,רמה_גאוגרפית,אוכלוסייה,מושג_הכנסה,פילוח_מגדר,שנים,מדדים,שורות,ישויות,נחלץ_בהצלחה,סיבת_כשל,מקור_בפועל
"סוג המבוטחים לפי מחוז ונפה, 2022",סוג המבוטחים,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,לא,2022,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",147,15,כן,,xlsx
"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",15579,289,כן,,xlsx
"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",15579,289,כן,,xlsx
"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers",14994,285,לא,שם קובץ ארוך מדי,unified_all.csv
"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_both,wage_year_mean",2988,56,כן,,xlsx
"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_both,wage_year_mean",1188,15,כן,,xlsx
